,ACCT_STREET_ADDR,NEW ADDRESS
0,S69 W15459 JAMESVILLE RD,S69 W15459 JAMESVILLE RD
1,N85 W16265 ARTHUR AVE,N85 W16265 ARTHUR AVE
2,W177 N1152 FAIRWAY CT,W177 N1152 FAIRWAY CT
3,N106 W1313 BRADLEY WAY,"[['ALNUM'], ['ALNUM'], ['ALPHA'], ['WORDWAY']]"
4,N8074 ROLLING HILLS DR,"[['ALNUM'], ['ALPHA'], ['ALPHA'], ['WAY']]"
5,W2987 DEER VIEW RD,"[['ALNUM'], ['ALPHA'], ['ALPHA'], ['WAY']]"
6,N1788 LILY OF THE VALLEY DR,"[['ALNUM'], ['ALPHA'], ['ARTI'], ['ARTI'], ['WORDWAY'], ['WAY']]"
7,36W170 FIELDCREST D,"[['ALNUM'], ['ALPHA'], ['LETTER']]"
8,S2873 SPRUCE ST,S2873 SPRUCE ST
9,0N468 PLEASANT HILL RD,0N468 PLEASANT HILL
10,S1456 FERRY RD STE101,S1456 FERRY RD STE101
11,27W150 ROOSEVELT RD,27W150 ROOSEVELT RD
12,N85W15800 APPLETON AVE,N85W15800 APPLETON AVE
13,19W660 DYSTRUP RD,19W660 DYSTRUP RD
14,7S672 WELTON DR,7S672 WELTON DR
15,40W222 LAFOX RD,40W222 LAFOX RD
16,3N802 BITTERSWEET RD,3N802 BITTERSWEET RD
17,W9188 SAWMILL RD,W9188 SAWMILL RD
18,W8234 STOCKBRIDGE CT,W8234 STOCKBRIDGE CT
19,S3109 ALPINE RD,S3109 ALPINE RD
20,W341S9275 CORNER CT,W341S9275 CORNER CT
21,6N707 BROOKHAVEN LN,6N707 BROOKHAVEN LN
22,E6782 BUTTERNUT RD,E6782 BUTTERNUT RD
23,N16246 LAKESHORE DR,N16246 LAKESHORE DR
24,30W110 BUTTERFIELD RD,30W110 BUTTERFIELD RD
25,N1779 COUNTY ROAD CX,"[['ALNUM'], ['ALPHA'], ['WORDWAY'], ['ALPHA']]"
26,N805 COUNTY ROAD FF,"[['ALNUM'], ['ALPHA'], ['WORDWAY'], ['ALPHA']]"
27,15N454 IL ROUTE 47,"[['ALNUM'], ['ALPHA'], ['WORDWAY'], ['DIGIT']]"
28,W11125 STATE ROAD 33,"[['ALNUM'], ['ALPHA'], ['WORDWAY'], ['DIGIT']]"
29,W1115 COUNTY ROAD W,"[['ALNUM'], ['ALPHA'], ['WORDWAY'], ['LETTER', 'DIR']]"
30,N9848 COUNTY HIGHWAY K,"[['ALNUM'], ['ALPHA'], ['WORDWAY'], ['LETTER']]"
31,N1468 COUNTY ROAD A,"[['ALNUM'], ['ALPHA'], ['WORDWAY'], ['LETTER']]"
