,ACCT_STREET_ADDR,NEW ADDRESS
20,901 S BOLMAR ST # A,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['POUND'], ['LETTER']]),"
40,12954 SE KENT - KANGLEY ROAD,"("""", [['DIGIT'], ['DIR'], ['ALPHA'], ['ALPHA'], ['WAY']]),"
44,8571 EASTERN MORNING RUN,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA']]),"
48,170 PETALUMA BLVD N,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR']]),"
56,166 CONCORD EXCHANGE N FL 2,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
78,1129 S 2ND AVE STE D,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['APT'], ['LETTER']]),"
85,1900 AVENUE OF THE STARS,"("""", [['DIGIT'], ['WAY'], ['ARTI'], ['ARTI'], ['ALPHA']]),"
104,16-18 VAN WETTERING PL,"("""", [['DIGIT'], ['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY']]),"
125,217 GRANT ST SE,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['DIR']]),"
140,19747 HIGHWAY 59 N STE 460,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
152,5854 SILVER HILL RD STE A,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['APT'], ['LETTER']]),"
161,2800 N MAIN ST # 196-B,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['POUND'], ['DIGIT'], ['LETTER']]),"
204,1420 E ROSEVILLE PKW 140365,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['DIGIT']]),"
225,2323 S TROY ST STE 6-113,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['DIGIT'], ['DIGIT']]),"
237,13002 NEW 40 HWY,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['WAY']]),"
268,651 STATE RT 17,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['DIGIT']]),"
